,station,date,pm25,latitude,longitude,pm25_xgb,pm25_rf,pm25_lgbm
194,dki5,2025-03-06,43.87428571428571,-6.20741,106.75,35.943005,37.303481038411455,38.98389348070028
195,dki5,2025-03-06,43.87428571428571,-6.20741,106.75,35.934776,37.296478246053056,38.99190726597392
196,kabupaten_bekasi,2025-03-06,34.48458333333333,-6.3638,107.172,32.475544,31.259528379440308,32.49345859914722
197,kabupaten_bekasi,2025-03-06,34.48458333333333,-6.3638,107.172,32.47896,31.233592299355404,32.468174782834794
198,kabupaten_bogor,2025-03-06,35.91,-6.48137,106.829,34.170464,36.45308044539559,33.161551602717275
199,kabupaten_bogor,2025-03-06,35.91,-6.48137,106.829,34.076504,36.67258056640627,33.19479697560242
200,tangerang,2025-03-06,51.14157894736842,-6.19749,106.57,36.72473,33.5124023768637,36.16213452466572
201,tangerang,2025-03-06,51.14157894736842,-6.19749,106.57,36.72763,33.99918477084903,36.341063026976464
202,tangerang_benteng_betawi,2025-03-06,25.168695652173913,-6.17567,106.645,31.44867,32.74407204151154,29.97085847655496
203,tangerang_benteng_betawi,2025-03-06,25.168695652173913,-6.17567,106.645,31.419168,33.22233503182729,29.919285798137388
204,tangerang_kali_pasir,2025-03-06,12.774583333333332,-6.18737,106.633,30.317919,32.54986867162916,29.80520417428746
205,tangerang_kali_pasir,2025-03-06,12.774583333333332,-6.18737,106.633,30.31683,32.553086081610786,29.82363608957906
206,tangerang_selatan,2025-03-06,44.943333333333335,-6.29885,106.651,36.53049,35.91969036314222,34.88817043103069
207,tangerang_selatan,2025-03-06,44.943333333333335,-6.29885,106.651,36.563885,35.87147748629251,34.929156665309115
208,AHP Capital Place,2025-03-14,17.041666666666668,-6.232,106.8205,17.245174,18.22892595714993,18.197173992571305
209,AHP Capital Place,2025-03-14,17.041666666666668,-6.232,106.8205,16.757534,18.136102561950683,18.18450897986315
210,ANTARA ETP - Bundaran HI,2025-03-14,16.4,-6.1955,106.8243,16.804098,18.094905937512717,18.878744466822315
211,ANTARA ETP - Bundaran HI,2025-03-14,16.4,-6.1955,106.8243,16.898056,18.08818228032853,18.86607945411416
212,Agung Sedayu Group - WTP Ebony (BGM),2025-03-14,19.652173913043477,-6.1039,106.7459,18.235264,19.38233287811279,19.810446267774104
213,Agung Sedayu Group - WTP Ebony (BGM),2025-03-14,19.652173913043477,-6.1039,106.7459,18.207449,19.314930175145467,19.97500622855577
214,Ancol,2025-03-14,7.604166666666667,-6.12459,106.85121,11.211673,17.847635186513266,12.17806195467251
215,Ancol,2025-03-14,7.604166666666667,-6.12459,106.85121,11.17963,17.79713876830207,12.176802486464
216,Antara ETP - Antara Heritage Center,2025-03-14,11.416666666666666,-6.1656,106.8341,15.741605,18.653954837587143,17.1108246880276
217,Antara ETP - Antara Heritage Center,2025-03-14,11.416666666666666,-6.1656,106.8341,15.858764,18.658423895306058,17.098159675319444
218,Ascott Kuningan - myhome,2025-03-14,17.583333333333332,-6.2251,106.824,16.479988,17.518329277568387,17.90285751747393
219,Ascott Kuningan - myhome,2025-03-14,17.583333333333332,-6.2251,106.824,16.031555,17.483801165156887,17.890192504765775
